URL,Name,Type,Subtype,Unique,Deck code ID,Card Set,Attribute(s),Magicka Cost,Power,Health,Rarity,Availability,Card Text
https://en.uesp.net/wiki/Legends%3AAbandoned_Imperfect,Abandoned Imperfect,Support,,False,ac,Clockwork City,Neutral,5,,,Rare,,Ongoing Treasure Hunt – Three cards: Sacrifice Abandoned Imperfect to summon an 8/8 Awakened Imperfect with Breakthrough and Guard to the lane of your choice.
https://en.uesp.net/wiki/Legends%3AAbecean_Navigator,Abecean Navigator,Creature,High Elf,False,ad,Core Set,Intelligence,2,3,1,Common,,"Summon: If the top card of your deck is an action, draw it. Otherwise, put it on the bottom."
https://en.uesp.net/wiki/Legends%3AAbnur_Tharn,Abnur Tharn,Creature,Imperial,True,uG,Alliance War,Intelligence,6,5,5,Legendary,,Summon: Abnur Tharn uses the summon ability of a creature.
https://en.uesp.net/wiki/Legends%3AAbomination,Abomination,Creature,Abomination,False,,Clockwork City,Neutral,1,1,1,Legendary,Created,
https://en.uesp.net/wiki/Legends%3AAcolyte_of_Boethiah,Acolyte of Boethiah,Creature,Wood Elf,False,,Core Set,Strength,1,1,2,Common,Unobtainable,
https://en.uesp.net/wiki/Legends%3AAdoring_Fan,Adoring Fan,Creature,Wood Elf,True,ae,Exclusive,Neutral,3,0,1,Legendary,,"Prophecy, GuardImmune to Silence.Last Gasp: Adoring Fan will return."
https://en.uesp.net/wiki/Legends%3AAela_the_Huntress_%28Nord%29,Aela the Huntress,Creature,Nord,True,af,Heroes of Skyrim,Strength,7,3,3,Legendary,,Summon: Deal 1 damage.Beast Form: +2/+2 and destroy a Wounded creature.
https://en.uesp.net/wiki/Legends%3AAela_the_Huntress_%28Werewolf%29,Aela the Huntress,Creature,Werewolf,True,,Heroes of Skyrim,Strength,7,5,5,Legendary,Created,
https://en.uesp.net/wiki/Legends%3AAela%27s_Huntmate_%28Nord%29,Aela's Huntmate,Creature,Nord,False,ag,Heroes of Skyrim,Strength,4,3,3,Rare,,Beast Form: +1/+1 and draw a card.
https://en.uesp.net/wiki/Legends%3AAela%27s_Huntmate_%28Werewolf%29,Aela's Huntmate,Creature,Werewolf,False,,Heroes of Skyrim,Strength,4,4,4,Rare,Created,
https://en.uesp.net/wiki/Legends%3AAfflicted_Alit,Afflicted Alit,Creature,Reptile,False,ah,Core Set,Strength,2,3,1,Rare,,Summon: Deal 2 damage to each player.
